==============================================================================================================
Per-state Frobenius distances on the 30-ticker panel (R2 RE3)
K = 3, λ = 20.0, 3 seeds per family per ticker
==============================================================================================================

Aggregate distribution across 30 tickers:
  pair     ‖Δμ‖_F med [Q1, Q3]     ‖Δσ‖_F med [Q1, Q3]     ‖ΔT‖_F med [Q1, Q3]   
  N-t      2.2171 [1.9461, 3.4881]  3.8884 [2.3688, 5.3167]  0.4584 [0.4027, 0.5344]
  N-L      2.2083 [1.5719, 2.9278]  4.9308 [3.7072, 7.5338]  0.4410 [0.3613, 0.6421]
  N-GED    2.3522 [1.6971, 3.3218]  3.6272 [2.5298, 5.1940]  0.4454 [0.3408, 0.5531]
  t-L      1.3525 [0.9047, 2.4806]  2.1222 [1.6224, 2.6128]  0.2553 [0.1611, 0.6595]
  t-GED    0.6952 [0.4028, 1.2219]  0.3902 [0.2184, 0.7132]  0.2331 [0.1255, 0.2974]
  L-GED    1.4878 [0.6246, 2.5141]  1.9750 [1.8012, 2.7002]  0.3253 [0.1599, 0.5546]

Per-ticker per-pair distances (full panel):
  Sector                      Ticker   Pair     ‖Δμ‖_F        ‖Δσ‖_F        ‖ΔT‖_F      
  Communication Services      VZ       N-GED    2.15044       2.84983       0.48790     
  Communication Services      VZ       t-L      0.39171       1.04929       0.16385     
  Communication Services      VZ       t-GED    0.17387       0.28472       0.17926     
  Communication Services      VZ       L-GED    0.50653       0.88773       0.21766     
  Communication Services      DIS      N-t      3.06287       5.19926       0.53776     
  Communication Services      DIS      N-L      2.23860       7.47657       0.73411     
  Communication Services      DIS      N-GED    3.13142       3.88643       0.30586     
  Communication Services      DIS      t-L      3.34357       2.75627       0.82415     
  Communication Services      DIS      t-GED    5.80678       1.50597       0.56666     
  Communication Services      DIS      L-GED    4.54995       4.19748       0.92781     
  Industrials                 CAT      N-t      3.14091       1.83293       0.23129     
  Industrials                 CAT      N-L      2.54100       3.33703       0.26394     
  Industrials                 CAT      N-GED    3.38528       1.86746       0.32652     
  Industrials                 CAT      t-L      0.85723       2.11657       0.10716     
  Industrials                 CAT      t-GED    0.37302       0.44483       0.25102     
  Industrials                 CAT      L-GED    1.21461       1.79612       0.32122     
  Industrials                 BA       N-t      2.14521       9.06759       0.23755     
  Industrials                 BA       N-L      2.38212       12.08740      0.59957     
  Industrials                 BA       N-GED    0.52263       7.38875       0.07957     
  Industrials                 BA       t-L      3.43682       3.23827       0.66480     
  Industrials                 BA       t-GED    1.88657       1.83566       0.23290     
  Industrials                 BA       L-GED    2.43622       4.97952       0.55316     
  Industrials                 HON      N-t      2.12845       4.90008       0.52807     
  Industrials                 HON      N-L      1.79336       6.75275       0.43264     
  Industrials                 HON      N-GED    2.21998       4.83536       0.54063     
  Industrials                 HON      t-L      0.59711       2.12790       0.17500     
  Industrials                 HON      t-GED    0.35487       0.28373       0.10776     
  Industrials                 HON      L-GED    0.90919       2.34212       0.26284     
  Consumer Staples            PG       N-t      1.84238       3.34782       0.46289     
  Consumer Staples            PG       N-L      1.59418       4.82345       0.67084     
  Consumer Staples            PG       N-GED    2.24837       3.28669       0.51731     
  Consumer Staples            PG       t-L      2.23775       1.58923       0.90951     
  Consumer Staples            PG       t-GED    0.64019       0.08274       0.28894     
  Consumer Staples            PG       L-GED    2.54010       1.64493       0.85758     
  Consumer Staples            KO       N-t      1.40089       2.90347       0.41070     
  Consumer Staples            KO       N-L      1.17119       3.40203       0.64143     
  Consumer Staples            KO       N-GED    1.32777       2.76939       0.37405     
  Consumer Staples            KO       t-L      1.93697       0.71944       0.86814     
  Consumer Staples            KO       t-GED    0.24956       0.21571       0.20181     
  Consumer Staples            KO       L-GED    1.96941       0.91570       0.80114     
  Consumer Staples            WMT      N-t      1.65402       4.01153       0.52741     
  Consumer Staples            WMT      N-L      1.56450       4.94487       0.73773     
  Consumer Staples            WMT      N-GED    1.83123       4.84661       0.50278     
  Consumer Staples            WMT      t-L      2.69465       0.96508       0.64350     
  Consumer Staples            WMT      t-GED    0.76477       0.92585       0.41210     
  Consumer Staples            WMT      L-GED    2.67972       0.43740       0.50441     
  Energy                      XOM      N-t      2.28903       1.88412       0.42489     
  Energy                      XOM      N-L      2.93173       3.92353       0.57034     
  Energy                      XOM      N-GED    2.92201       2.29745       0.55728     
  Energy                      XOM      t-L      0.89570       2.22132       0.18284     
  Energy                      XOM      t-GED    0.88690       0.41647       0.17111     
  Energy                      XOM      L-GED    0.01069       1.86334       0.01350     
  Energy                      CVX      N-t      2.87521       5.37842       0.48699     
  Energy                      CVX      N-L      1.64615       7.55291       0.78655     
  Energy                      CVX      N-GED    3.06247       5.21558       0.45584     
  Energy                      CVX      t-L      3.55628       2.55944       0.92689     
  Energy                      CVX      t-GED    0.40161       0.17358       0.05669     
  Energy                      CVX      L-GED    3.68914       2.69720       0.91817     
  Energy                      COP      N-t      3.57559       5.72475       0.54575     
  Energy                      COP      N-L      4.24470       8.33925       0.64228     
  Energy                      COP      N-GED    3.77033       5.66488       0.56489     
  Energy                      COP      t-L      1.29337       2.82057       0.17456     
  Energy                      COP      t-GED    0.22260       0.10346       0.02919     
  Energy                      COP      L-GED    1.13026       2.85831       0.15444     
  Utilities                   NEE      N-t      0.32230       2.01302       0.42398     
  Utilities                   NEE      N-L      1.17901       3.52248       0.35243     
  Utilities                   NEE      N-GED    0.99913       1.76564       0.42625     
  Utilities                   NEE      t-L      1.31871       2.01342       0.37813     
  Utilities                   NEE      t-GED    0.77581       0.72809       0.39274     
  Utilities                   NEE      L-GED    2.09314       1.90299       0.10766     
  Utilities                   DUK      N-t      2.12958       6.35669       0.62128     
  Utilities                   DUK      N-L      1.92509       7.57057       0.64391     
  Utilities                   DUK      N-GED    2.45612       6.43538       0.71119     
  Utilities                   DUK      t-L      2.56150       1.26081       0.88379     
  Utilities                   DUK      t-GED    0.91389       0.25369       0.33520     
  Utilities                   DUK      L-GED    2.70805       1.14130       0.78431     
  Utilities                   SO       N-t      1.93549       4.47890       0.47942     
  Utilities                   SO       N-L      1.11745       3.01775       0.40111     
  Utilities                   SO       N-GED    1.34778       5.12944       0.37362     
  Utilities                   SO       t-L      2.65145       1.76178       0.72467     
  Utilities                   SO       t-GED    0.74951       0.66861       0.29571     
  Utilities                   SO       L-GED    2.27455       2.34735       0.49627     
  Materials                   FCX      N-t      14.17136      4.63697       0.44050     
  Materials                   FCX      N-L      13.30637      7.83075       0.36030     
  Materials                   FCX      N-GED    1.27493       6.53118       0.46585     
  Materials                   FCX      t-L      1.40002       3.52435       0.11547     
  Materials                   FCX      t-GED    14.71927      3.69825       0.59054     
  Materials                   FCX      L-GED    13.76954      2.74034       0.55512     
  Materials                   NEM      N-t      3.79584       2.03442       0.48814     
  Materials                   NEM      N-L      2.91616       4.14052       0.36411     
  Materials                   NEM      N-GED    3.50967       2.52624       0.48930     
  Materials                   NEM      t-L      1.08706       2.67386       0.20437     
  Materials                   NEM      t-GED    0.44790       0.85390       0.28440     
  Materials                   NEM      L-GED    0.68495       1.95582       0.18760     
  Materials                   APD      N-t      2.12609       4.47910       0.38777     
  Materials                   APD      N-L      2.22117       5.99678       0.40310     
  Materials                   APD      N-GED    2.08776       4.38462       0.35902     
  Materials                   APD      t-L      0.12421       1.72200       0.05537     
  Materials                   APD      t-GED    0.21416       0.11633       0.04865     
  Materials                   APD      L-GED    0.31081       1.81641       0.08958     
