ticker,arm,acf_regret,cvm_regret,max_regret,both_le_1p5
COP,100,1.0825,1.0001,1.0825,1
CVX,100,2.3964,1.0000,2.3964,0
DIS,100,3.4095,1.0001,3.4095,0
DUK,100,2.0627,1.0002,2.0627,0
FCX,100,1.0760,1.0000,1.0760,1
HD,100,1.3362,1.0020,1.3362,1
HON,100,1.3136,1.0003,1.3136,1
JNJ,100,1.5564,1.0000,1.5564,0
JPM,100,1.3417,1.0000,1.3417,1
KO,100,3.2902,1.0000,3.2902,0
LLY,100,2.4079,1.0000,2.4079,0
MCD,100,1.3084,1.0000,1.3084,1
MSFT,100,3.0164,1.0431,3.0164,0
NEE,100,3.4244,1.0000,3.4244,0
NEM,100,2.3779,1.0002,2.3779,0
NFLX,100,2.6650,1.0000,2.6650,0
NVDA,100,3.2569,1.0004,3.2569,0
PG,100,2.7220,1.0000,2.7220,0
SO,100,1.1264,1.0013,1.1264,1
SPY,100,3.1106,1.0001,3.1106,0
UNH,100,1.0829,1.0032,1.0829,1
VZ,100,1.9635,1.0001,1.9635,0
WFC,100,4.5081,1.0129,4.5081,0
WMT,100,1.9345,1.0115,1.9345,0
XOM,100,1.0337,1.0046,1.0337,1
AAPL,marginal,2.2764,1.0000,2.2764,0
AMZN,marginal,2.6047,1.0016,2.6047,0
APD,marginal,3.6221,1.0000,3.6221,0
BA,marginal,2.9125,1.0005,2.9125,0
BAC,marginal,1.0184,1.0000,1.0184,1
CAT,marginal,3.5326,1.0000,3.5326,0
COP,marginal,1.4571,1.0000,1.4571,1
CVX,marginal,5.9005,1.0000,5.9005,0
DIS,marginal,4.9165,1.0000,4.9165,0
DUK,marginal,3.4257,1.0000,3.4257,0
FCX,marginal,1.2394,1.0000,1.2394,1
HD,marginal,1.5461,1.0024,1.5461,0
HON,marginal,2.6215,1.0000,2.6215,0
JNJ,marginal,2.2518,1.0000,2.2518,0
JPM,marginal,4.2755,1.0000,4.2755,0
KO,marginal,5.3321,1.0000,5.3321,0
LLY,marginal,2.4102,1.0000,2.4102,0
MCD,marginal,2.2222,1.0000,2.2222,0
MSFT,marginal,3.5864,1.0430,3.5864,0
NEE,marginal,4.9930,1.0000,4.9930,0
NEM,marginal,2.3504,1.0000,2.3504,0
NFLX,marginal,2.6833,1.0000,2.6833,0
NVDA,marginal,3.4225,1.0000,3.4225,0
PG,marginal,3.5853,1.0000,3.5853,0
SO,marginal,1.3971,1.0000,1.3971,1
SPY,marginal,4.8958,1.0000,4.8958,0
UNH,marginal,1.0223,1.0031,1.0223,1
VZ,marginal,1.9775,1.0000,1.9775,0
WFC,marginal,6.8535,1.0073,6.8535,0
WMT,marginal,2.0067,1.0000,2.0067,0
XOM,marginal,3.7675,1.0040,3.7675,0
