ticker,m,near_mae,far_mae,lambdas
CAT,17,0.011275,0.014535,0.9984;0.9929;0.9875;0.9800;0.9655;0.9534;0.9506;0.9449;0.9097;0.8829;0.7157;0.6117;0.5108;0.4608;0.3822;0.2425;0.1430
COP,1,0.020931,0.019164,0.9804
COP,2,0.018589,0.017959,0.9852;0.8906
COP,4,0.016340,0.017803,0.9984;0.9732;0.8906;0.5102
COP,8,0.016379,0.014318,0.9991;0.9948;0.9852;0.9563;0.8906;0.7959;0.5102;0.2720
COP,17,0.012206,0.013214,0.9984;0.9954;0.9905;0.9856;0.9792;0.9690;0.9563;0.8963;0.8235;0.7411;0.7111;0.6684;0.5998;0.5102;0.3720;0.3115;0.2720
CVX,1,0.018077,0.015637,0.9777
CVX,2,0.014967,0.014165,0.9832;0.8435
CVX,4,0.012156,0.014369,0.9984;0.9769;0.8435;0.3049
CVX,8,0.010996,0.012144,0.9991;0.9945;0.9832;0.9684;0.9439;0.8435;0.5595;0.2341
CVX,17,0.010183,0.011975,0.9984;0.9956;0.9900;0.9817;0.9751;0.9556;0.9288;0.8803;0.8301;0.7329;0.5950;0.5295;0.4200;0.3511;0.2282;0.1696;0.0928
DIS,1,0.024006,0.016869,0.9917
DIS,2,0.016119,0.014930,0.9937;0.8943
DIS,4,0.015567,0.013478,0.9984;0.9937;0.9598;0.8156
DIS,8,0.015275,0.013450,0.9987;0.9937;0.9850;0.9660;0.8943;0.5601;0.2730;0.0928
DIS,17,0.014139,0.013331,0.9991;0.9964;0.9937;0.9850;0.9706;0.9660;0.9307;0.8850;0.8822;0.8028;0.7749;0.7003;0.6427;0.5796;0.4911;0.3585;0.2720
DUK,1,0.020159,0.017145,0.9638
DUK,2,0.018551,0.016532,0.9898;0.9506
DUK,4,0.020603,0.012813,0.9991;0.9944;0.9506;0.8979
DUK,8,0.014379,0.012297,0.9991;0.9944;0.9506;0.9083;0.8216;0.7680;0.5710;0.2720
DUK,17,0.012174,0.011102,0.9984;0.9955;0.9898;0.9792;0.9694;0.9634;0.9377;0.8726;0.8216;0.7608;0.6741;0.5706;0.5655;0.5042;0.3779;0.3249;0.2037
FCX,1,0.015871,0.016751,0.9866
FCX,2,0.016847,0.014816,0.9991;0.9899
FCX,4,0.016541,0.014816,0.9991;0.9899;0.7646;0.0928
FCX,8,0.013593,0.013601,0.9989;0.9895;0.9750;0.9429;0.8633;0.6924;0.5102;0.2720
FCX,17,0.013048,0.013095,0.9984;0.9962;0.9922;0.9817;0.9712;0.9580;0.9296;0.8982;0.8439;0.7646;0.6787;0.6567;0.6534;0.6109;0.5102;0.3787;0.2720
HD,1,0.015404,0.016919,0.9566
HD,2,0.016193,0.014382,0.9991;0.9485
HD,4,0.014930,0.014050,0.9984;0.9796;0.9553;0.5592
HD,8,0.015148,0.012217,0.9991;0.9954;0.9888;0.9672;0.9242;0.8181;0.5592;0.2720
HD,17,0.013623,0.011514,0.9984;0.9960;0.9916;0.9796;0.9673;0.9457;0.9115;0.8889;0.8301;0.8089;0.7897;0.7640;0.7106;0.5592;0.4718;0.3854;0.2720
HON,1,0.026083,0.020209,0.9824
HON,2,0.019858,0.018746,0.9868;0.8848
HON,4,0.017352,0.018508,0.9984;0.9868;0.8848;0.3787
HON,8,0.016200,0.014987,0.9991;0.9949;0.9868;0.9505;0.8848;0.7280;0.2037;0.0928
HON,17,0.014171,0.013986,0.9991;0.9969;0.9949;0.9868;0.9772;0.9727;0.9635;0.9505;0.9242;0.8848;0.8181;0.7280;0.5536;0.4264;0.3518;0.3052;0.1430
JNJ,1,0.015196,0.019920,0.9508
JNJ,2,0.016057,0.017045,0.9991;0.9366
JNJ,4,0.014735,0.016770,0.9984;0.9777;0.9428;0.7787
JNJ,8,0.014096,0.015933,0.9991;0.9952;0.9877;0.9628;0.9014;0.7366;0.5230;0.0928
JNJ,17,0.012570,0.014766,0.9991;0.9971;0.9941;0.9850;0.9667;0.9572;0.9548;0.9113;0.8830;0.8809;0.8405;0.7787;0.6924;0.5884;0.4552;0.3616;0.2456
JPM,1,0.017277,0.018261,0.9777
JPM,2,0.015074,0.017322,0.9824;0.8512
JPM,4,0.014905,0.017113,0.9984;0.9803;0.8512;0.5941
JPM,8,0.014922,0.013737,0.9991;0.9948;0.9832;0.9531;0.9201;0.8512;0.5941;0.2720
JPM,17,0.013446,0.012843,0.9984;0.9958;0.9905;0.9827;0.9696;0.9497;0.9160;0.8909;0.8838;0.8677;0.8213;0.7633;0.6678;0.5317;0.4087;0.2456;0.2334
KO,1,0.021029,0.018914,0.9703
KO,2,0.018834,0.016850,0.9984;0.9595
KO,4,0.017495,0.016871,0.9984;0.9679;0.8808;0.2720
KO,8,0.018613,0.013699,0.9991;0.9946;0.9884;0.9776;0.9487;0.8808;0.7445;0.2720
KO,17,0.012468,0.013572,0.9984;0.9956;0.9901;0.9788;0.9595;0.9399;0.9083;0.8851;0.8838;0.8755;0.8195;0.7445;0.6584;0.5532;0.4456;0.3652;0.2720
LLY,1,0.016539,0.017138,0.9905
LLY,2,0.014815,0.016742,0.9929;0.6782
LLY,4,0.013778,0.016237,0.9986;0.9870;0.9586;0.4921
LLY,8,0.012976,0.015754,0.9987;0.9929;0.9865;0.9586;0.8828;0.6782;0.4911;0.2720
LLY,17,0.012627,0.015032,0.9991;0.9971;0.9929;0.9865;0.9746;0.9586;0.9034;0.8682;0.7965;0.7908;0.7875;0.6782;0.5998;0.4911;0.1590;0.1143;0.0928
MCD,1,0.017645,0.017368,0.9472
MCD,2,0.016915,0.017253,0.9845;0.9340
MCD,4,0.016761,0.014889,0.9991;0.9915;0.9283;0.7566
MCD,8,0.015870,0.014315,0.9991;0.9915;0.9816;0.9601;0.8763;0.7959;0.5998;0.2720
MCD,17,0.014517,0.013782,0.9989;0.9956;0.9896;0.9768;0.9667;0.9479;0.9354;0.9077;0.8895;0.8720;0.8461;0.7566;0.6167;0.3932;0.2103;0.1332;0.0928
MSFT,1,0.016647,0.019478,0.9834
MSFT,2,0.015233,0.018927,0.9875;0.8887
MSFT,4,0.014381,0.018990,0.9966;0.9875;0.8887;0.6053
MSFT,8,0.010105,0.015171,0.9991;0.9977;0.9875;0.9496;0.8887;0.7892;0.6053;0.2456
MSFT,17,0.008406,0.014994,0.9991;0.9977;0.9929;0.9875;0.9736;0.9642;0.9496;0.9215;0.8887;0.8408;0.7487;0.6587;0.3999;0.3168;0.1922;0.1686;0.1430
NEE,1,0.020271,0.024689,0.9713
NEE,2,0.019460,0.012866,0.9991;0.9609
NEE,4,0.017145,0.012716,0.9991;0.9609;0.8828;0.5941
NEE,8,0.014061,0.012189,0.9991;0.9965;0.9921;0.9784;0.9459;0.8828;0.5941;0.0928
NEE,17,0.011839,0.012112,0.9989;0.9948;0.9882;0.9799;0.9736;0.9506;0.9394;0.9201;0.8828;0.8408;0.6975;0.5111;0.3865;0.2665;0.1810;0.1189;0.0928
NEM,1,0.015917,0.016589,0.9876
NEM,2,0.015346,0.016224,0.9899;0.8906
NEM,4,0.016305,0.015189,0.9984;0.9830;0.9666;0.8906
NEM,8,0.015519,0.014153,0.9991;0.9960;0.9906;0.9666;0.9387;0.8906;0.7151;0.3450
NEM,17,0.014057,0.013800,0.9984;0.9928;0.9830;0.9751;0.9643;0.9430;0.9189;0.9057;0.8727;0.8677;0.8487;0.8089;0.7151;0.6272;0.5289;0.3450;0.2720
NFLX,1,0.019896,0.018788,0.9821
NFLX,2,0.016325,0.018871,0.9840;0.1891
NFLX,4,0.018174,0.017263,0.9991;0.9865;0.9615;0.2720
NFLX,8,0.015813,0.015952,0.9991;0.9948;0.9865;0.9768;0.9615;0.8656;0.6830;0.2720
NFLX,17,0.016418,0.014333,0.9991;0.9969;0.9936;0.9888;0.9865;0.9717;0.9615;0.9353;0.9187;0.8656;0.8298;0.7822;0.6830;0.5941;0.4783;0.3517;0.2720
NVDA,1,0.017975,0.016392,0.9943
NVDA,2,0.015739,0.016019,0.9955;0.8766
NVDA,4,0.015145,0.015814,0.9984;0.9957;0.9588;0.7863
NVDA,8,0.014719,0.015359,0.9991;0.9957;0.9855;0.9660;0.8766;0.7751;0.4393;0.0928
NVDA,17,0.013914,0.015047,0.9984;0.9922;0.9845;0.9737;0.9587;0.9437;0.9393;0.9216;0.8766;0.7113;0.6712;0.6102;0.5634;0.5102;0.3787;0.3115;0.2720
PG,1,0.016186,0.016363,0.9500
PG,2,0.015997,0.016047,0.9984;0.9406
PG,4,0.015795,0.016044,0.9984;0.9691;0.9445;0.0928
PG,8,0.015099,0.015209,0.9991;0.9942;0.9829;0.9622;0.7998;0.5950;0.2665;0.0928
PG,17,0.013106,0.014785,0.9984;0.9955;0.9894;0.9803;0.9691;0.9515;0.9320;0.8704;0.8510;0.8507;0.8027;0.7064;0.6877;0.5991;0.4127;0.1484;0.0928
SO,1,0.022635,0.015490,0.9582
SO,2,0.021218,0.015674,0.9560;0.5039
SO,4,0.019844,0.015238,0.9870;0.9684;0.8979;0.5039
SO,8,0.016792,0.014415,0.9991;0.9929;0.9863;0.9684;0.8597;0.7926;0.3592;0.0928
SO,17,0.012744,0.012088,0.9991;0.9969;0.9929;0.9863;0.9799;0.9684;0.9468;0.9281;0.8979;0.8561;0.7926;0.7280;0.6635;0.4327;0.2103;0.1536;0.0928
SPY,1,0.021010,0.021994,0.9785
SPY,2,0.018111,0.020349,0.9838;0.8868
SPY,4,0.017556,0.020244,0.9984;0.9838;0.8868;0.5102
SPY,8,0.016937,0.012523,0.9991;0.9949;0.9838;0.9539;0.8868;0.7525;0.5102;0.0928
SPY,17,0.013221,0.011771,0.9984;0.9958;0.9907;0.9823;0.9759;0.9488;0.9319;0.8747;0.8357;0.7755;0.7359;0.7217;0.6431;0.5102;0.4390;0.3652;0.2720
UNH,1,0.017865,0.016189,0.9697
UNH,2,0.017489,0.015830,0.9989;0.9620
UNH,4,0.017333,0.015824,0.9989;0.9587;0.9016;0.3999
UNH,8,0.016869,0.015867,0.9991;0.9870;0.9772;0.9307;0.8811;0.8326;0.3999;0.0928
UNH,17,0.016025,0.015331,0.9991;0.9968;0.9929;0.9855;0.9772;0.9690;0.9593;0.9330;0.8962;0.8679;0.8326;0.6436;0.4724;0.4170;0.3162;0.3079;0.2557
VZ,1,0.019607,0.015897,0.9718
VZ,2,0.017232,0.016024,0.9788;0.5884
VZ,4,0.017180,0.015778,0.9991;0.9739;0.7992;0.3797
VZ,8,0.015810,0.015316,0.9984;0.9880;0.9616;0.9169;0.8701;0.7678;0.5884;0.2720
VZ,17,0.014777,0.014225,0.9991;0.9966;0.9934;0.9872;0.9788;0.9666;0.9514;0.9468;0.9158;0.8701;0.8241;0.7678;0.6733;0.5884;0.4123;0.3249;0.2720
WFC,1,0.022148,0.021272,0.9923
WFC,2,0.019152,0.018703,0.9942;0.9128
WFC,4,0.018077,0.017110,0.9984;0.9942;0.9682;0.9128
WFC,8,0.017702,0.015730,0.9989;0.9942;0.9875;0.9716;0.9128;0.7564;0.5350;0.0928
WFC,17,0.015473,0.014891,0.9987;0.9967;0.9894;0.9772;0.9488;0.9308;0.9067;0.8465;0.7965;0.7370;0.6642;0.6261;0.5595;0.4656;0.4522;0.3652;0.2388
WMT,1,0.016914,0.019357,0.9491
WMT,2,0.015901,0.019200,0.9615;0.0928
WMT,4,0.016076,0.015493,0.9991;0.9908;0.9308;0.1430
WMT,8,0.013751,0.015513,0.9984;0.9864;0.9715;0.9308;0.8092;0.5418;0.1925;0.0928
WMT,17,0.012042,0.015418,0.9984;0.9935;0.9833;0.9737;0.9636;0.9308;0.9034;0.8766;0.8629;0.8092;0.7928;0.6832;0.4918;0.3504;0.2337;0.2037;0.1895
XOM,1,0.021929,0.019673,0.9947
XOM,2,0.016694,0.017097,0.9960;0.9242
XOM,4,0.016172,0.016451,0.9991;0.9928;0.9242;0.3049
XOM,8,0.013786,0.013980,0.9991;0.9960;0.9877;0.9731;0.9242;0.7640;0.5710;0.3049
XOM,17,0.012989,0.013563,0.9991;0.9960;0.9926;0.9877;0.9810;0.9731;0.9555;0.9242;0.9014;0.8723;0.7824;0.6117;0.5658;0.5560;0.4056;0.3049;0.2720
