ticker,m,near_mae,far_mae,components
VZ,8,0.014858,0.015766,pos:0.9747:0:0.05595|pos:0.5821:0:0.19408|pos:0.9993:0:0.00557|osc:0.9880:1.5708:0.00930:-0.01020|osc:0.9726:0.2618:-0.01901:0.01418|neg:0.9372:0:0.00202
VZ,17,0.012428,0.015494,pos:0.9552:0:0.43760|pos:0.6451:0:0.30940|pos:0.9993:0:0.00582|osc:0.9856:1.5708:0.01196:-0.01060|osc:0.9633:0.2618:-0.03446:0.02119|osc:0.9451:2.6180:0.01050:0.01665|osc:0.9889:0.7854:-0.00368:-0.00671|osc:0.9845:2.0944:0.00946:-0.01330|osc:0.9993:2.0944:-0.00114:0.00565|neg:0.8877:0:0.01179|pos:0.9452:0:-0.43702
WFC,1,0.022148,0.021272,pos:0.9923:0:0.19257
WFC,2,0.019262,0.018289,pos:0.9946:0:0.14495|pos:0.9273:0:0.13444
WFC,4,0.018055,0.017040,pos:0.9952:0:-0.00286|pos:0.9273:0:-0.09584|pos:0.9980:0:0.08243|pos:0.9649:0:0.25226
WFC,8,0.016269,0.017006,pos:0.9952:0:-0.00267|pos:0.9273:0:-0.32413|pos:0.9980:0:0.08297|pos:0.9575:0:0.41826|neg:0.5076:0:-0.07741|osc:0.9750:1.5708:-0.00095:-0.01466|pos:0.6753:0:0.12212
WFC,17,0.015212,0.017093,pos:0.9952:0:0.00114|pos:0.9273:0:-0.20034|pos:0.9980:0:0.08051|pos:0.9602:0:0.33038|neg:0.5355:0:-0.17976|osc:0.9717:1.5708:-0.00290:-0.01825|osc:0.9480:2.0944:-0.00125:-0.03093|osc:0.9350:0.7854:-0.01450:0.01684|osc:0.8217:2.6180:-0.05083:-0.04525|osc:0.9993:2.6180:0.00321:-0.00086|osc:0.9876:1.0472:0.00717:-0.00170
WMT,1,0.016914,0.019357,pos:0.9491:0:0.12280
WMT,2,0.016013,0.019190,pos:0.9622:0:0.09629|neg:0.0990:0:-1.12252
WMT,4,0.015066,0.015437,pos:0.9153:0:0.07443|neg:0.1508:0:-0.64609|pos:0.9993:0:-0.03400|pos:0.9925:0:0.07357
WMT,8,0.013740,0.015366,pos:0.9153:0:0.04671|neg:0.0990:0:-1.05143|pos:0.9993:0:-0.03567|pos:0.9925:0:0.07833|osc:0.9091:0.2618:0.00371:0.04367|osc:0.9898:0.7854:0.00929:-0.00656
WMT,17,0.011484,0.015130,pos:0.9153:0:0.01961|neg:0.2306:0:-0.67026|pos:0.9993:0:-0.03697|pos:0.9925:0:0.08206|osc:0.9091:0.2618:-0.03571:0.06431|osc:0.9883:0.7854:0.00965:-0.00976|osc:0.9873:0.5236:0.00040:0.01076|neg:0.9853:0:0.00603|osc:0.9926:2.0944:0.00508:0.00398|osc:0.6667:1.0472:-0.16785:0.08326|osc:0.9797:1.5708:0.00604:0.01134
XOM,1,0.021929,0.019673,pos:0.9947:0:0.18777
XOM,2,0.016690,0.016415,pos:0.9966:0:0.14402|pos:0.9369:0:0.13342
XOM,4,0.015857,0.016402,pos:0.9966:0:0.14381|pos:0.9369:0:0.13681|osc:0.7755:2.6180:0.06685:0.04893
XOM,8,0.013373,0.015880,pos:0.9911:0:0.07894|pos:0.9369:0:0.14852|osc:0.8463:2.6180:0.03145:0.03339|osc:0.9922:0.2618:0.01139:-0.00506|pos:0.9991:0:0.07259|pos:0.6801:0:-0.08439
XOM,17,0.011371,0.015113,pos:0.9967:0:0.01276|pos:0.9369:0:-0.30348|osc:0.7943:2.6180:0.00208:0.05999|osc:0.9931:0.2618:0.00928:-0.00320|pos:0.9980:0:0.10183|pos:0.3494:0:-0.01014|osc:0.9182:2.0944:-0.03625:-0.00975|pos:0.9509:0:0.43104|osc:0.9878:1.5708:-0.00332:-0.00710|osc:0.9993:2.6180:0.00315:-0.00036|osc:0.8260:1.0472:-0.04092:-0.02102
