lag,observed,obs_ci_lo,obs_ci_hi,sim_median,sim_lo,sim_hi,theoretical
47,0.047420,NaN,NaN,0.023791,-0.026306,0.083730,0.030993
48,0.069710,NaN,NaN,0.022306,-0.028747,0.078106,0.029548
49,0.093801,NaN,NaN,0.019664,-0.028278,0.074214,0.028171
50,0.058377,NaN,NaN,0.019098,-0.030100,0.073127,0.026858
51,0.078365,NaN,NaN,0.016592,-0.033665,0.070242,0.025606
52,0.068912,NaN,NaN,0.018128,-0.034680,0.069452,0.024412
53,0.075585,NaN,NaN,0.016478,-0.034439,0.069242,0.023274
54,0.063397,NaN,NaN,0.013250,-0.037834,0.072516,0.022190
55,0.086629,NaN,NaN,0.013322,-0.035645,0.068001,0.021155
56,0.072342,NaN,NaN,0.012874,-0.037934,0.067898,0.020170
57,0.062963,NaN,NaN,0.010363,-0.038007,0.068129,0.019230
58,0.067014,NaN,NaN,0.010024,-0.040873,0.066632,0.018334
59,0.082887,NaN,NaN,0.010528,-0.040480,0.064925,0.017479
60,0.042766,NaN,NaN,0.008356,-0.041927,0.063668,0.016665
61,0.057021,NaN,NaN,0.008050,-0.041299,0.062539,0.015888
62,0.052158,NaN,NaN,0.006927,-0.042397,0.062936,0.015148
63,0.084939,NaN,NaN,0.005912,-0.041982,0.062196,0.014442
64,0.039744,NaN,NaN,0.005840,-0.043169,0.062670,0.013769
65,0.045747,NaN,NaN,0.005594,-0.044460,0.059804,0.013128
66,0.054883,NaN,NaN,0.002561,-0.047681,0.056836,0.012516
67,0.033610,NaN,NaN,0.001508,-0.045709,0.060043,0.011933
68,0.057867,NaN,NaN,0.002968,-0.046899,0.058591,0.011377
69,0.039233,NaN,NaN,0.001030,-0.046810,0.059598,0.010847
70,0.037774,NaN,NaN,0.001596,-0.048830,0.060117,0.010341
71,0.037034,NaN,NaN,0.002109,-0.047884,0.058801,0.009860
72,0.071744,NaN,NaN,0.001068,-0.047902,0.057529,0.009400
73,0.033274,NaN,NaN,-0.001478,-0.050449,0.051794,0.008962
74,0.043520,NaN,NaN,0.000135,-0.050708,0.057369,0.008545
75,0.059158,NaN,NaN,-0.001201,-0.049828,0.054301,0.008147
76,0.070038,NaN,NaN,-0.000879,-0.048738,0.054882,0.007767
77,0.042507,NaN,NaN,-0.001196,-0.050694,0.054650,0.007405
78,0.034245,NaN,NaN,-0.002251,-0.048588,0.053510,0.007060
79,0.043973,NaN,NaN,-0.001139,-0.052541,0.054540,0.006731
80,0.026114,NaN,NaN,-0.002726,-0.050792,0.055359,0.006418
81,0.040596,NaN,NaN,-0.002968,-0.051117,0.052773,0.006119
82,0.048785,NaN,NaN,-0.002324,-0.049869,0.054493,0.005834
83,0.019834,NaN,NaN,-0.003491,-0.052083,0.051720,0.005562
84,0.023015,NaN,NaN,-0.004613,-0.049366,0.051206,0.005303
85,0.034832,NaN,NaN,-0.003084,-0.045930,0.054844,0.005056
86,0.020507,NaN,NaN,-0.003493,-0.051734,0.052395,0.004820
87,0.022096,NaN,NaN,-0.004372,-0.052095,0.051793,0.004596
88,0.034893,NaN,NaN,-0.004787,-0.049712,0.049851,0.004382
89,0.017018,NaN,NaN,-0.004911,-0.052303,0.050722,0.004177
90,0.037632,NaN,NaN,-0.003415,-0.049997,0.052102,0.003983
91,0.033478,NaN,NaN,-0.003633,-0.049604,0.050385,0.003797
92,0.055344,NaN,NaN,-0.002573,-0.051980,0.053701,0.003620
93,0.016402,NaN,NaN,-0.002877,-0.050822,0.052267,0.003452
94,0.047130,NaN,NaN,-0.004610,-0.053254,0.052314,0.003291
95,0.047546,NaN,NaN,-0.005061,-0.052385,0.051468,0.003138
96,0.034955,NaN,NaN,-0.004324,-0.053577,0.052489,0.002991
97,0.070677,NaN,NaN,-0.004845,-0.053911,0.052207,0.002852
98,0.045516,NaN,NaN,-0.004225,-0.054217,0.052021,0.002719
99,0.040263,NaN,NaN,-0.004319,-0.052655,0.051508,0.002592
100,0.053973,NaN,NaN,-0.003539,-0.055204,0.054551,0.002472
101,0.056435,NaN,NaN,-0.004076,-0.054663,0.050929,0.002357
102,0.052883,NaN,NaN,-0.005635,-0.053807,0.049163,0.002247
103,0.053896,NaN,NaN,-0.003756,-0.054957,0.049154,0.002142
104,0.030908,NaN,NaN,-0.006401,-0.053077,0.052029,0.002042
105,0.064175,NaN,NaN,-0.004408,-0.052802,0.051490,0.001947
106,0.052961,NaN,NaN,-0.005427,-0.053748,0.050384,0.001856
107,0.044245,NaN,NaN,-0.004170,-0.054742,0.048432,0.001770
108,0.019133,NaN,NaN,-0.003759,-0.053467,0.050138,0.001688
109,0.048870,NaN,NaN,-0.005763,-0.051584,0.048421,0.001609
110,0.017041,NaN,NaN,-0.004565,-0.051880,0.050181,0.001534
111,0.041729,NaN,NaN,-0.006716,-0.052624,0.047636,0.001462
112,0.021379,NaN,NaN,-0.006891,-0.052373,0.050655,0.001394
113,0.045576,NaN,NaN,-0.005722,-0.049497,0.051499,0.001329
114,0.037471,NaN,NaN,-0.007818,-0.055817,0.051194,0.001267
115,0.044414,NaN,NaN,-0.005694,-0.051143,0.048619,0.001208
116,0.051083,NaN,NaN,-0.004591,-0.052008,0.046685,0.001152
117,0.046037,NaN,NaN,-0.004953,-0.053644,0.049032,0.001098
118,0.036782,NaN,NaN,-0.005196,-0.053574,0.049009,0.001047
119,0.059580,NaN,NaN,-0.005265,-0.054222,0.051924,0.000998
120,0.069450,NaN,NaN,-0.004593,-0.051763,0.048452,0.000952
121,0.058898,NaN,NaN,-0.005080,-0.051530,0.050158,0.000908
122,0.053769,NaN,NaN,-0.006016,-0.054625,0.051091,0.000865
123,0.041312,NaN,NaN,-0.005514,-0.054253,0.053591,0.000825
124,0.052669,NaN,NaN,-0.005262,-0.054179,0.051322,0.000787
125,0.036047,NaN,NaN,-0.005203,-0.051620,0.049127,0.000750
126,0.049399,NaN,NaN,-0.005242,-0.053687,0.049448,0.000715
127,0.039186,NaN,NaN,-0.004771,-0.051168,0.050464,0.000682
128,0.038015,NaN,NaN,-0.004636,-0.053513,0.050399,0.000650
129,0.057600,NaN,NaN,-0.005918,-0.051067,0.048955,0.000620
130,0.057485,NaN,NaN,-0.006179,-0.051496,0.048387,0.000591
131,0.073658,NaN,NaN,-0.006525,-0.051840,0.049248,0.000563
132,0.028225,NaN,NaN,-0.005623,-0.050009,0.051632,0.000537
133,0.039541,NaN,NaN,-0.004770,-0.050859,0.049397,0.000512
134,0.043609,NaN,NaN,-0.004859,-0.049025,0.049225,0.000488
135,0.033511,NaN,NaN,-0.005210,-0.049292,0.051195,0.000465
136,0.040730,NaN,NaN,-0.005052,-0.050375,0.048368,0.000444
137,0.025282,NaN,NaN,-0.005920,-0.049219,0.051920,0.000423
138,0.064754,NaN,NaN,-0.006497,-0.051002,0.049800,0.000403
139,0.049680,NaN,NaN,-0.004309,-0.051051,0.050386,0.000385
140,0.036209,NaN,NaN,-0.004584,-0.050465,0.051435,0.000367
141,0.033726,NaN,NaN,-0.005756,-0.051929,0.053943,0.000350
142,0.041391,NaN,NaN,-0.005548,-0.052566,0.051263,0.000333
143,0.041777,NaN,NaN,-0.005184,-0.051857,0.048218,0.000318
144,0.040085,NaN,NaN,-0.005615,-0.052084,0.050581,0.000303
145,0.043429,NaN,NaN,-0.006279,-0.051067,0.048622,0.000289
146,0.051115,NaN,NaN,-0.007838,-0.050481,0.050056,0.000275
147,-0.001369,NaN,NaN,-0.007220,-0.053764,0.049906,0.000263
148,0.039868,NaN,NaN,-0.005457,-0.051686,0.048364,0.000250
149,0.041661,NaN,NaN,-0.005782,-0.051108,0.048850,0.000239
150,0.027416,NaN,NaN,-0.005825,-0.052531,0.047095,0.000228
151,0.074004,NaN,NaN,-0.007110,-0.053994,0.046859,0.000217
152,0.050720,NaN,NaN,-0.006418,-0.052526,0.047561,0.000207
153,0.046838,NaN,NaN,-0.007284,-0.054970,0.046417,0.000197
154,0.043677,NaN,NaN,-0.006816,-0.049074,0.046571,0.000188
155,0.041386,NaN,NaN,-0.006356,-0.051842,0.047497,0.000179
156,0.053274,NaN,NaN,-0.006770,-0.055340,0.044070,0.000171
157,0.030806,NaN,NaN,-0.005954,-0.054113,0.045295,0.000163
158,0.047198,NaN,NaN,-0.006859,-0.051258,0.044828,0.000155
159,0.034973,NaN,NaN,-0.006350,-0.052998,0.046355,0.000148
160,0.064257,NaN,NaN,-0.006912,-0.054890,0.044808,0.000141
161,0.064303,NaN,NaN,-0.005870,-0.055457,0.046116,0.000135
162,0.046570,NaN,NaN,-0.006024,-0.056678,0.048347,0.000128
163,0.040868,NaN,NaN,-0.005953,-0.053426,0.050145,0.000122
164,0.031698,NaN,NaN,-0.005691,-0.054509,0.046583,0.000117
165,0.028639,NaN,NaN,-0.004884,-0.054435,0.046969,0.000111
166,0.024086,NaN,NaN,-0.006695,-0.054048,0.047222,0.000106
167,0.015889,NaN,NaN,-0.005854,-0.053589,0.042538,0.000101
168,0.048155,NaN,NaN,-0.007392,-0.053855,0.046882,0.000096
169,0.048555,NaN,NaN,-0.004172,-0.053040,0.046644,0.000092
170,0.039548,NaN,NaN,-0.006220,-0.054319,0.048801,0.000088
171,0.026574,NaN,NaN,-0.005857,-0.055578,0.047088,0.000084
172,0.049866,NaN,NaN,-0.007097,-0.054982,0.044981,0.000080
173,0.046146,NaN,NaN,-0.006131,-0.053813,0.048200,0.000076
174,0.041322,NaN,NaN,-0.006325,-0.053030,0.048103,0.000072
175,0.000719,NaN,NaN,-0.005552,-0.053421,0.048561,0.000069
176,0.033953,NaN,NaN,-0.006793,-0.053693,0.049112,0.000066
177,0.033782,NaN,NaN,-0.003990,-0.050320,0.048198,0.000063
178,0.004622,NaN,NaN,-0.006577,-0.051642,0.047976,0.000060
179,0.028782,NaN,NaN,-0.005029,-0.054335,0.049976,0.000057
180,0.000037,NaN,NaN,-0.005652,-0.055765,0.046290,0.000054
181,0.003123,NaN,NaN,-0.005594,-0.052419,0.047780,0.000052
182,0.031563,NaN,NaN,-0.006454,-0.051736,0.046074,0.000049
183,0.017717,NaN,NaN,-0.005608,-0.055478,0.050210,0.000047
184,-0.005650,NaN,NaN,-0.005504,-0.053314,0.051985,0.000045
185,0.001488,NaN,NaN,-0.003981,-0.050967,0.049276,0.000043
186,-0.012262,NaN,NaN,-0.003011,-0.053470,0.046765,0.000041
187,0.007432,NaN,NaN,-0.004549,-0.053636,0.047533,0.000039
188,-0.000409,NaN,NaN,-0.005552,-0.050198,0.048660,0.000037
189,0.009518,NaN,NaN,-0.004901,-0.052103,0.045783,0.000035
190,-0.002145,NaN,NaN,-0.006129,-0.052892,0.044302,0.000034
191,0.000022,NaN,NaN,-0.005462,-0.053378,0.045848,0.000032
192,0.010049,NaN,NaN,-0.004926,-0.055108,0.049953,0.000031
193,-0.001942,NaN,NaN,-0.006087,-0.053732,0.045788,0.000029
194,0.003816,NaN,NaN,-0.005158,-0.052084,0.045961,0.000028
195,-0.001266,NaN,NaN,-0.005192,-0.055045,0.045257,0.000027
196,-0.006393,NaN,NaN,-0.005314,-0.051633,0.047055,0.000025
197,0.019179,NaN,NaN,-0.005429,-0.051849,0.045459,0.000024
198,0.019564,NaN,NaN,-0.004877,-0.053135,0.045915,0.000023
199,0.005523,NaN,NaN,-0.005096,-0.052176,0.046960,0.000022
200,-0.006798,NaN,NaN,-0.006232,-0.053658,0.045296,0.000021
201,0.022728,NaN,NaN,-0.005716,-0.054797,0.047759,0.000020
202,0.011230,NaN,NaN,-0.004796,-0.053799,0.043461,0.000019
203,0.034612,NaN,NaN,-0.005623,-0.053633,0.048725,0.000018
204,0.019434,NaN,NaN,-0.005188,-0.051588,0.045100,0.000017
205,-0.009855,NaN,NaN,-0.005168,-0.053513,0.045293,0.000017
206,0.022973,NaN,NaN,-0.005660,-0.051985,0.047423,0.000016
207,0.018159,NaN,NaN,-0.005599,-0.052423,0.045956,0.000015
208,0.013256,NaN,NaN,-0.005501,-0.050338,0.044223,0.000014
209,0.007002,NaN,NaN,-0.006045,-0.050087,0.046025,0.000014
210,-0.007056,NaN,NaN,-0.005718,-0.051529,0.044355,0.000013
211,0.031327,NaN,NaN,-0.005717,-0.052632,0.043388,0.000012
212,0.015482,NaN,NaN,-0.005582,-0.054849,0.043091,0.000012
213,-0.008029,NaN,NaN,-0.006388,-0.052447,0.045629,0.000011
214,0.026950,NaN,NaN,-0.006065,-0.049963,0.043366,0.000011
215,0.004270,NaN,NaN,-0.006165,-0.055829,0.045610,0.000010
216,0.023425,NaN,NaN,-0.006482,-0.052931,0.043907,0.000010
217,0.015012,NaN,NaN,-0.005822,-0.051646,0.044373,0.000009
218,-0.000575,NaN,NaN,-0.005991,-0.053089,0.043564,0.000009
219,0.002315,NaN,NaN,-0.005678,-0.053420,0.046240,0.000008
220,-0.022319,NaN,NaN,-0.005104,-0.054315,0.045050,0.000008
221,0.019910,NaN,NaN,-0.006395,-0.054784,0.045002,0.000008
222,-0.003597,NaN,NaN,-0.005966,-0.053621,0.046880,0.000007
223,-0.013268,NaN,NaN,-0.005189,-0.054244,0.045304,0.000007
224,0.009466,NaN,NaN,-0.007447,-0.052641,0.047006,0.000007
225,-0.017143,NaN,NaN,-0.005676,-0.051664,0.046779,0.000006
226,-0.017807,NaN,NaN,-0.006751,-0.053385,0.044256,0.000006
227,-0.019368,NaN,NaN,-0.007909,-0.053311,0.040686,0.000006
228,-0.022984,NaN,NaN,-0.004900,-0.053836,0.045909,0.000006
229,-0.026825,NaN,NaN,-0.006600,-0.053676,0.045381,0.000005
230,-0.041411,NaN,NaN,-0.006782,-0.053198,0.047330,0.000005
231,-0.014924,NaN,NaN,-0.007162,-0.053305,0.044653,0.000005
232,-0.027954,NaN,NaN,-0.006497,-0.053038,0.043820,0.000005
233,-0.040089,NaN,NaN,-0.006868,-0.052544,0.042328,0.000004
234,-0.016867,NaN,NaN,-0.007565,-0.053767,0.044227,0.000004
235,-0.022402,NaN,NaN,-0.007341,-0.051786,0.044004,0.000004
236,-0.033969,NaN,NaN,-0.005906,-0.052457,0.042240,0.000004
237,-0.018111,NaN,NaN,-0.008184,-0.054111,0.044377,0.000004
238,-0.051892,NaN,NaN,-0.007431,-0.053438,0.044050,0.000003
239,-0.018136,NaN,NaN,-0.006784,-0.054659,0.042811,0.000003
240,-0.027108,NaN,NaN,-0.006804,-0.053261,0.042516,0.000003
241,-0.042142,NaN,NaN,-0.007673,-0.053793,0.042811,0.000003
242,-0.012879,NaN,NaN,-0.008105,-0.056349,0.041714,0.000003
243,-0.052844,NaN,NaN,-0.006821,-0.054599,0.044976,0.000003
244,-0.031261,NaN,NaN,-0.007956,-0.054113,0.045878,0.000003
245,-0.026874,NaN,NaN,-0.008193,-0.052762,0.043444,0.000002
246,-0.036787,NaN,NaN,-0.007589,-0.053564,0.042430,0.000002
247,-0.044761,NaN,NaN,-0.007116,-0.052545,0.043990,0.000002
248,-0.022229,NaN,NaN,-0.007151,-0.050711,0.042252,0.000002
249,-0.025158,NaN,NaN,-0.007859,-0.052852,0.043858,0.000002
250,-0.043995,NaN,NaN,-0.006484,-0.053215,0.040994,0.000002
251,-0.025132,NaN,NaN,-0.007617,-0.052044,0.043185,0.000002
252,-0.040979,NaN,NaN,-0.007152,-0.050796,0.042600,0.000002
