idx,R_oos,var_05,var_01,breach_05,breach_01
288,-0.89856,-2.86384,-4.43058,0,0
289,-0.13317,-2.69618,-4.15859,0,0
290,-4.17189,-2.46077,-3.83167,1,1
291,0.66294,-3.76978,-6.00510,0,0
292,-2.32260,-3.23238,-5.06649,0,0
293,-0.86944,-3.33695,-5.14565,0,0
294,-4.02195,-3.07388,-4.70409,1,0
295,-2.62878,-3.86295,-5.97095,0,0
296,0.82532,-3.85332,-5.88360,0,0
297,-2.68568,-3.47662,-5.27554,0,0
298,2.78516,-3.66802,-5.51243,0,0
299,2.89576,-3.74060,-5.60627,0,0
300,-2.07480,-3.82552,-5.72186,0,0
301,2.01039,-3.75595,-5.60265,0,0
302,0.15961,-3.66168,-5.45616,0,0
303,-1.89530,-3.33028,-5.02377,0,0
304,4.83714,-3.39708,-5.08041,0,0
305,0.85212,-4.25763,-6.41365,0,0
306,-1.92919,-3.84135,-5.76897,0,0
307,-1.07038,-3.77946,-5.63679,0,0
308,-4.42718,-3.54166,-5.30815,1,0
309,-1.06743,-4.28019,-6.39000,0,0
310,1.44736,-3.94421,-5.88207,0,0
311,0.81336,-3.71647,-5.55649,0,0
312,-8.06093,-3.40433,-5.16052,1,1
313,-13.47321,-6.39858,-9.57222,1,1
314,-6.84298,-10.52608,-15.45639,0,0
315,2.96202,-9.87120,-14.58206,0,0
316,7.21094,-8.72164,-12.81052,0,0
317,1.26772,-8.92763,-13.01537,0,0
318,2.37918,-8.02469,-11.72981,0,0
319,4.77754,-7.43456,-10.92110,0,0
320,-0.14899,-7.60374,-10.99129,0,0
321,-5.33544,-6.89249,-10.11925,0,0
322,-0.17739,-7.32594,-10.54802,0,0
323,-6.57160,-6.68879,-9.76295,0,0
324,5.36377,-7.37047,-10.59914,0,0
325,6.38822,-7.43752,-10.70175,0,0
326,2.27234,-7.71589,-11.10535,0,0
327,2.28066,-7.20615,-10.44006,0,0
328,0.63266,-6.75211,-9.85870,0,0
329,1.43130,-6.10199,-9.09195,0,0
330,-0.83584,-5.59354,-8.47664,0,0
331,4.10069,-5.09071,-7.86266,0,0
332,2.62307,-5.70135,-8.37593,0,0
333,-0.68400,-5.53007,-8.12569,0,0
334,-1.94119,-5.06096,-7.55978,0,0
335,0.04666,-4.87509,-7.28912,0,0
336,2.71133,-4.44441,-6.75468,0,0
337,-0.62960,-4.54512,-6.79607,0,0
338,6.57686,-4.20208,-6.35548,0,0
339,3.09533,-5.57108,-8.05702,0,0
340,0.20357,-5.42617,-7.86972,0,0
341,0.53022,-4.97942,-7.29942,0,0
342,1.61847,-4.56390,-6.78082,0,0
343,0.32452,-4.32353,-6.46038,0,0
344,-0.26209,-3.97320,-6.00853,0,0
345,-2.36541,-3.68743,-5.61752,0,0
346,-1.33175,-3.84054,-5.76172,0,0
347,-2.21043,-3.68924,-5.54485,0,0
348,4.20690,-3.76062,-5.60722,0,0
349,0.51868,-4.33216,-6.34670,0,0
350,-0.03435,-3.99575,-5.89962,0,0
351,-0.63016,-3.68485,-5.49316,0,0
352,0.75051,-3.44481,-5.17197,0,0
353,2.16050,-3.23548,-4.88243,0,0
354,0.75537,-3.30620,-4.96311,0,0
355,-0.72611,-3.10974,-4.68941,0,0
356,1.66130,-2.96078,-4.47521,0,0
357,0.38607,-2.94933,-4.45461,0,0
358,0.72585,-2.77896,-4.20647,0,0
359,0.30482,-2.65715,-4.02546,0,0
360,0.01652,-2.53055,-3.83377,0,0
361,-1.72414,-2.42007,-3.66478,0,0
362,1.68022,-2.53005,-3.85361,0,0
363,-1.38186,-2.56360,-3.91293,0,0
364,-0.18519,-2.56424,-3.91979,0,0
365,-1.33265,-2.41666,-3.69377,0,0
366,0.70196,-2.43182,-3.73154,0,0
367,3.66844,-2.32089,-3.56245,0,0
368,0.49327,-3.19767,-5.07393,0,0
369,1.38787,-2.84410,-4.42238,0,0
370,1.43852,-2.72722,-4.20856,0,0
371,1.26100,-2.65746,-4.09241,0,0
372,0.17551,-2.57158,-3.96233,0,0
373,0.68516,-2.39315,-3.69949,0,0
374,2.23778,-2.27411,-3.52764,0,0
375,-1.52139,-2.53506,-3.94955,0,0
376,-0.08695,-2.55942,-3.97835,0,0
377,0.90873,-2.36750,-3.67966,0,0
378,0.96085,-2.26858,-3.53680,0,0
379,-0.59452,-2.19405,-3.43189,0,0
380,0.04790,-2.10433,-3.30162,0,0
381,0.15217,-1.98314,-3.11890,0,0
382,-0.85598,-1.88315,-2.96669,0,0
383,1.85616,-1.88608,-2.98729,0,0
384,0.39344,-2.11067,-3.38688,0,0
385,0.86330,-1.96798,-3.13416,0,0
386,-0.65935,-1.91224,-3.04985,0,0
387,1.47573,-1.86346,-2.97928,0,0
388,1.19124,-1.96979,-3.17440,0,0
389,0.56029,-1.97103,-3.17402,0,0
390,0.17710,-1.86248,-2.99358,0,0
391,-0.29346,-1.75033,-2.81792,0,0
392,-0.51351,-1.67491,-2.70472,0,0
393,0.12172,-1.63798,-2.65570,0,0
394,-5.08792,-1.55895,-2.52838,1,1
395,2.72047,-4.78601,-7.28493,0,0
396,-0.02736,-4.26631,-6.78864,0,0
397,0.87906,-3.39222,-5.50156,0,0
398,0.43301,-2.96164,-4.68674,0,0
399,1.48019,-2.62966,-4.14104,0,0
400,0.26809,-2.63705,-4.10519,0,0
401,1.50658,-2.38271,-3.76234,0,0
402,1.41185,-2.46878,-3.85399,0,0
403,0.02597,-2.48110,-3.86066,0,0
404,-0.04350,-2.25611,-3.56350,0,0
405,-0.39413,-2.05474,-3.30257,0,0
406,-0.93318,-1.92649,-3.12920,0,0
407,-1.57542,-1.97237,-3.18031,0,0
408,-0.33267,-2.25065,-3.56178,0,0
409,3.19800,-2.08023,-3.31287,0,0
410,-0.02939,-2.90942,-4.77314,0,0
411,-0.14263,-2.54066,-4.04739,0,0
412,1.00184,-2.28789,-3.62854,0,0
413,0.59856,-2.20482,-3.49779,0,0
414,-1.05832,-2.04554,-3.27950,0,0
415,-2.48378,-2.10187,-3.35083,1,0
416,1.46160,-2.64492,-4.25453,0,0
417,1.66115,-2.55122,-4.03538,0,0
418,0.19162,-2.55210,-4.00906,0,0
419,0.49883,-2.32506,-3.65372,0,0
420,0.38829,-2.13981,-3.40042,0,0
421,1.23138,-1.95642,-3.16105,0,0
422,1.52475,-2.03800,-3.26471,0,0
423,0.49934,-2.18749,-3.47691,0,0
424,0.88371,-2.02084,-3.23391,0,0
425,0.00939,-1.95670,-3.14751,0,0
426,-0.46789,-1.78313,-2.91204,0,0
427,1.38203,-1.70183,-2.80209,0,0
428,0.01050,-1.90477,-3.09486,0,0
429,1.07349,-1.73719,-2.84700,0,0
430,-0.40335,-1.79241,-2.93198,0,0
431,-1.04257,-1.69034,-2.78320,0,0
432,-1.56270,-1.81451,-2.97871,0,0
433,1.15359,-2.05910,-3.41473,0,0
434,1.06709,-2.01941,-3.30486,0,0
435,0.34976,-1.98021,-3.22361,0,0
436,0.97570,-1.82636,-2.97699,0,0
437,0.73431,-1.82223,-2.98023,0,0
438,0.56712,-1.74966,-2.87399,0,0
439,0.33717,-1.64821,-2.72865,0,0
440,-0.59413,-1.51784,-2.54488,0,0
441,0.92481,-1.52204,-2.55499,0,0
442,-0.40221,-1.57790,-2.64206,0,0
443,-3.63451,-1.50559,-2.53277,1,1
444,0.28428,-4.04205,-6.35929,0,0
445,-0.43177,-2.94242,-5.15633,0,0
446,1.53964,-2.39353,-4.07639,0,0
447,-0.95231,-2.39112,-3.92075,0,0
448,-0.24474,-2.28701,-3.67088,0,0
449,3.18388,-2.08759,-3.34492,0,0
450,0.50130,-2.91939,-4.88453,0,0
451,-1.42944,-2.52626,-4.07448,0,0
452,1.07643,-2.54745,-4.03347,0,0
453,2.28198,-2.42634,-3.81241,0,0
454,2.54118,-2.65837,-4.19331,0,0
455,1.12471,-2.87781,-4.55570,0,0
456,0.14372,-2.68970,-4.19559,0,0
457,-1.55885,-2.42372,-3.80163,0,0
458,-0.15698,-2.57454,-3.99399,0,0
459,0.15333,-2.34947,-3.68004,0,0
460,-2.26480,-2.10724,-3.37467,1,0
461,0.43733,-2.62170,-4.12006,0,0
462,-2.10071,-2.39320,-3.74928,0,0
463,-2.14649,-2.65474,-4.16565,0,0
464,4.66222,-2.80905,-4.41284,0,0
465,0.96228,-4.23274,-6.70967,0,0
466,0.51692,-3.55330,-5.61256,0,0
467,-3.11860,-3.08418,-4.81167,1,0
468,-1.28075,-3.55768,-5.46608,0,0
469,-1.33563,-3.33257,-5.06802,0,0
470,-2.45081,-3.19958,-4.84543,0,0
471,0.49829,-3.36666,-5.07965,0,0
472,-0.67472,-3.07517,-4.66728,0,0
473,-1.31185,-2.85285,-4.37756,0,0
474,3.90291,-2.85435,-4.35600,0,0
475,1.41225,-3.58205,-5.48153,0,0
476,3.22259,-3.34096,-5.06935,0,0
477,0.83334,-3.62668,-5.49049,0,0
478,-0.63380,-3.31559,-5.01499,0,0
479,0.48359,-3.04856,-4.65317,0,0
480,0.57545,-2.74620,-4.28181,0,0
481,0.03373,-2.48470,-3.96595,0,0
