t,chmm_n,chmm_t_pen,chmm_l,chmm_ged,chmm_t_shared_nu
74,0.555071,0.537623,0.567490,0.558117,0.536745
75,1.815260,1.811439,1.872917,1.739637,1.775869
76,0.401828,0.398384,0.359926,0.405882,0.378883
77,1.310488,1.299495,1.229035,1.263925,1.270110
78,2.153160,2.119441,2.185662,2.108317,2.122892
79,0.455603,0.452154,0.440256,0.446715,0.465925
80,1.283850,1.236440,1.351029,1.256714,1.359109
81,1.102433,1.111102,1.162304,1.163252,1.072906
82,0.361414,0.374010,0.348277,0.397536,0.401645
83,2.517897,2.421705,2.578560,2.495190,2.511844
84,1.190854,1.054369,1.204500,1.188976,1.049138
85,0.799029,0.710788,0.785878,0.709758,0.751469
86,0.427908,0.417687,0.427162,0.435618,0.421159
87,0.559749,0.580565,0.632201,0.575399,0.572249
88,0.514277,0.525170,0.531324,0.513054,0.461807
89,0.385982,0.367165,0.372547,0.385963,0.383290
90,0.438611,0.411042,0.408188,0.433311,0.409687
91,1.747152,1.803710,1.750153,1.804649,1.757294
92,0.510839,0.490274,0.479264,0.475894,0.512436
93,0.490490,0.493598,0.516173,0.478739,0.465045
94,0.455916,0.435961,0.471867,0.473421,0.437249
95,0.373604,0.374323,0.361715,0.370434,0.365157
96,0.464954,0.452588,0.458779,0.454160,0.459389
97,0.631522,0.679968,0.650802,0.661002,0.674982
98,0.417314,0.374776,0.373433,0.401173,0.423450
99,0.372251,0.353209,0.364412,0.362796,0.393807
100,0.923076,0.879775,0.891236,0.917991,0.869612
101,0.986568,0.998953,0.996327,0.980162,1.027094
102,0.373371,0.359208,0.353326,0.392139,0.393562
103,0.735059,0.716276,0.774063,0.755190,0.655659
104,0.377585,0.398418,0.393282,0.369119,0.370604
105,1.594201,1.644351,1.694814,1.566828,1.504491
106,0.488478,0.520100,0.510317,0.469849,0.493574
107,0.383645,0.385126,0.345718,0.406089,0.377383
108,0.372424,0.383316,0.372291,0.359931,0.386075
109,0.370769,0.370161,0.354823,0.378309,0.391483
110,1.984045,1.929937,2.010173,1.982039,1.996687
111,0.381074,0.370453,0.346965,0.380611,0.382403
112,0.403303,0.407399,0.401889,0.415149,0.396578
113,0.998136,0.965442,1.027887,0.929723,0.984489
114,0.573621,0.564588,0.598244,0.584719,0.568423
115,0.383986,0.404533,0.402900,0.397098,0.376608
116,0.908565,0.895204,0.947760,0.971059,0.965478
117,0.407400,0.396541,0.383553,0.396433,0.398601
118,0.430341,0.388410,0.396603,0.425900,0.439652
119,0.368968,0.393667,0.383990,0.396006,0.383942
120,0.398617,0.388057,0.389502,0.380053,0.388016
121,0.385971,0.385520,0.375886,0.375031,0.361586
122,0.502888,0.485550,0.498962,0.513277,0.499252
123,0.564888,0.552532,0.526981,0.529170,0.534793
124,0.839017,0.884333,0.880651,0.852433,0.836753
125,0.755579,0.792959,0.872086,0.797949,0.803476
126,0.458716,0.454660,0.486886,0.438117,0.457613
127,0.373819,0.365626,0.370284,0.368478,0.370846
128,0.829337,0.767208,0.811519,0.829753,0.845616
129,0.540767,0.521243,0.540152,0.538091,0.517164
130,0.540939,0.520193,0.577483,0.620147,0.553828
131,0.455307,0.418510,0.461112,0.462245,0.431156
132,0.460813,0.483090,0.467379,0.484670,0.476363
133,1.597701,1.533976,1.704266,1.646699,1.672441
134,1.349427,1.340769,1.414909,1.322972,1.339984
135,1.262721,1.215876,1.311476,1.313339,1.278421
136,0.847164,0.799168,0.779118,0.817070,0.775139
137,0.420128,0.426146,0.406521,0.415416,0.422169
138,3.670023,3.578444,3.694991,3.782951,3.717347
139,0.962632,0.901445,1.045587,1.029977,1.042837
140,0.554690,0.583352,0.589453,0.616539,0.580938
141,0.404680,0.428234,0.408476,0.445484,0.398314
142,0.885166,0.800712,0.918314,0.889770,0.930181
143,2.216165,2.296496,2.246461,2.348467,2.293991
144,1.606199,1.570894,1.615413,1.464322,1.610670
145,4.931911,4.934654,5.043953,4.930461,4.898126
146,5.735265,5.807669,5.723784,5.743757,5.887044
147,1.631181,1.673389,1.790644,1.603755,1.663662
148,0.375456,0.411665,0.369880,0.402629,0.364319
149,1.214844,1.273998,1.239828,1.232160,1.171327
150,1.049139,1.010879,1.025370,1.102587,0.987211
151,0.433852,0.446750,0.434185,0.479309,0.408111
152,1.829679,1.781079,1.798445,1.817756,1.809825
153,0.987011,1.023353,1.075753,1.115037,0.970997
154,2.622180,2.591911,2.702938,2.561476,2.772479
155,0.588304,0.566948,0.579487,0.567036,0.592248
156,0.935841,0.948418,0.938731,0.924682,0.969100
157,0.456401,0.466929,0.481488,0.454437,0.482142
158,0.391702,0.427011,0.405383,0.386942,0.438836
159,0.673736,0.671303,0.736511,0.702062,0.687326
160,0.641281,0.670464,0.678618,0.666645,0.668856
161,0.358406,0.381663,0.348123,0.375156,0.368149
162,0.366357,0.418885,0.372773,0.409319,0.399833
163,0.819905,0.858487,0.809061,0.818312,0.841371
164,0.483587,0.474659,0.458850,0.479937,0.457051
165,0.420457,0.398955,0.419207,0.466041,0.410824
166,2.034277,2.084830,2.127391,2.084949,2.122874
167,1.166397,1.149669,1.191205,1.147211,1.177712
168,0.587103,0.609612,0.620297,0.602818,0.629922
169,2.475694,2.422744,2.474155,2.469044,2.518211
170,0.595432,0.595388,0.590448,0.589584,0.625398
171,0.504184,0.547014,0.553918,0.538943,0.515814
172,0.430293,0.439352,0.447942,0.467572,0.422992
173,2.632945,2.756250,2.705608,2.729889,2.558490
174,1.245092,1.168269,1.279613,1.196170,1.242119
175,0.359181,0.362149,0.346936,0.388218,0.368159
176,0.442232,0.449607,0.453760,0.484712,0.472504
177,0.382249,0.383159,0.386801,0.345841,0.387019
178,1.857717,1.816021,1.758233,1.712532,1.787279
179,0.672937,0.621192,0.685175,0.712042,0.660852
180,0.444967,0.476996,0.429694,0.461760,0.449836
181,0.392482,0.397993,0.361676,0.420696,0.342861
182,0.374974,0.387175,0.344091,0.392657,0.378774
183,0.445727,0.425490,0.437717,0.435886,0.462834
184,0.395872,0.385718,0.357065,0.370311,0.357691
185,0.410960,0.396012,0.380058,0.387826,0.397337
186,0.992360,0.982602,0.982985,1.004785,0.978542
187,0.413484,0.387436,0.380850,0.398075,0.405933
188,0.513239,0.487187,0.469747,0.504086,0.488981
189,0.896094,0.883526,0.899691,0.844200,0.892976
190,0.623740,0.611456,0.593114,0.613170,0.610114
191,0.560089,0.600957,0.579620,0.584209,0.580456
192,1.013219,0.994177,1.034799,1.044599,0.969008
193,0.381533,0.396816,0.356401,0.369316,0.366315
194,0.646179,0.679428,0.742176,0.718619,0.657648
195,1.098408,0.979789,1.040385,1.027440,1.066738
196,0.567594,0.570227,0.582352,0.613596,0.602020
197,0.421156,0.404465,0.394729,0.393676,0.365354
198,0.532838,0.538921,0.526388,0.500121,0.518313
199,0.407803,0.375560,0.363693,0.372464,0.373857
200,0.534286,0.487099,0.540296,0.471625,0.464866
201,0.397782,0.397863,0.389550,0.373109,0.383599
202,1.233938,1.197280,1.218494,1.232724,1.276033
203,0.363579,0.390998,0.349728,0.380021,0.359085
204,0.467151,0.470734,0.456046,0.458288,0.466569
205,0.388517,0.368853,0.356581,0.351643,0.338194
206,0.385504,0.390963,0.354950,0.384168,0.388769
207,0.399057,0.399758,0.380948,0.382156,0.388159
208,3.273822,3.275772,3.188241,3.160059,3.252006
209,0.369827,0.390511,0.353202,0.392943,0.358533
210,0.638108,0.688090,0.663329,0.649421,0.741816
211,1.082130,1.065916,1.109099,1.053694,1.165576
212,4.885477,4.804165,4.841854,4.893164,4.904347
213,1.656546,1.567049,1.533162,1.624226,1.573029
214,0.626475,0.736823,0.698829,0.635978,0.649165
215,0.384939,0.373783,0.387775,0.356667,0.392805
216,0.561683,0.578087,0.549897,0.557645,0.546612
217,0.380384,0.384795,0.360459,0.359378,0.375202
218,0.760498,0.794796,0.774596,0.809977,0.826161
219,2.216209,2.326779,2.337510,2.356776,2.426850
220,0.356539,0.355426,0.358851,0.360197,0.360866
221,0.392391,0.393361,0.399760,0.388711,0.383382
222,0.407210,0.373789,0.419023,0.390966,0.421818
223,0.973133,0.888103,0.984137,0.931196,0.895153
224,0.617476,0.568276,0.599262,0.631215,0.572248
225,0.599553,0.659418,0.682735,0.650790,0.626095
226,0.571018,0.553542,0.497106,0.492438,0.529283
227,0.487419,0.441811,0.441923,0.425222,0.454880
228,0.616644,0.609482,0.569548,0.617441,0.604262
229,0.459022,0.421072,0.457741,0.417093,0.434493
230,0.359660,0.367027,0.377991,0.362114,0.389455
231,0.715934,0.631020,0.660912,0.655785,0.623704
232,0.388443,0.386360,0.364546,0.366239,0.363369
233,0.404893,0.351591,0.362137,0.365301,0.386177
234,0.648857,0.639013,0.665633,0.624695,0.633386
235,0.644761,0.595678,0.633544,0.642760,0.634786
236,0.753755,0.720704,0.773610,0.724047,0.754712
237,0.503179,0.527411,0.532066,0.521099,0.545172
238,0.478808,0.484732,0.472986,0.494777,0.510992
239,0.503813,0.505570,0.543914,0.514525,0.573609
240,0.707587,0.675077,0.722600,0.741693,0.718158
241,2.784851,2.920988,2.978730,2.802368,2.932833
242,2.284694,2.217853,2.290671,2.142943,2.206754
243,0.382404,0.366280,0.344067,0.372498,0.381095
244,0.923233,0.895146,0.931250,0.949524,0.955644
245,1.682244,1.756541,1.738293,1.825337,1.670428
246,0.456274,0.458360,0.497720,0.487954,0.482732
247,2.029015,1.993619,2.101546,1.901960,2.008495
248,1.694791,1.750331,1.823419,1.710133,1.723821
249,0.698317,0.688329,0.654566,0.696083,0.681670
250,0.886275,0.754790,0.819473,0.839453,0.831075
251,1.512765,1.468439,1.572944,1.508803,1.506564
252,1.637778,1.550021,1.578635,1.616373,1.639808
253,0.815869,0.756868,0.743799,0.820936,0.804291
254,1.959582,2.057491,2.009425,2.022659,2.038002
255,0.859423,0.906761,0.870962,0.915736,0.868865
256,0.649942,0.673945,0.641135,0.627743,0.668111
257,2.973044,2.986639,2.952375,3.057984,2.859540
258,0.377051,0.379004,0.358972,0.396718,0.399874
259,1.220447,1.302872,1.227443,1.238848,1.229580
260,0.933331,0.891802,0.913277,0.944414,0.930736
261,1.253431,1.191864,1.310526,1.239283,1.160500
262,0.433298,0.409845,0.406389,0.410749,0.414283
263,0.387510,0.376158,0.310884,0.394054,0.363636
264,3.317007,3.263323,3.237353,3.329594,3.163528
265,0.935064,0.898824,0.978547,0.915203,0.966540
266,0.447992,0.427422,0.406044,0.426535,0.432095
267,0.478623,0.461506,0.469168,0.473668,0.449941
268,0.384983,0.386521,0.348388,0.376543,0.368864
269,2.361462,2.472497,2.472747,2.393835,2.444596
270,0.849282,0.898520,0.919819,0.881437,0.821472
271,0.466601,0.473456,0.458260,0.486515,0.462827
272,0.615108,0.640343,0.634289,0.703011,0.680361
273,0.767643,0.784935,0.701419,0.748709,0.768116
274,0.409149,0.446635,0.370907,0.363333,0.404696
275,0.380005,0.363079,0.329977,0.361257,0.352293
276,0.736692,0.800683,0.774153,0.720647,0.808709
277,1.404453,1.441108,1.368530,1.391766,1.360084
278,0.584555,0.568539,0.588891,0.598333,0.584424
279,0.383912,0.368871,0.362320,0.377356,0.376634
280,0.404577,0.402016,0.409958,0.430087,0.383862
281,0.705049,0.705115,0.694315,0.715197,0.694195
282,1.647583,1.767684,1.771605,1.666902,1.710655
283,1.373745,1.466329,1.333842,1.362065,1.375735
284,1.462770,1.505397,1.439386,1.447009,1.500390
285,0.470023,0.430478,0.405863,0.437670,0.411743
286,1.541715,1.597552,1.495318,1.586835,1.560810
287,0.729019,0.663225,0.687711,0.643544,0.680236
288,0.406736,0.403126,0.401321,0.403106,0.402136
289,3.236996,3.271835,3.328980,3.252243,3.402447
290,0.424533,0.450166,0.427716,0.408393,0.432324
291,1.601193,1.584999,1.657445,1.712001,1.626533
292,0.683698,0.691781,0.673139,0.649809,0.674856
293,3.020135,3.132124,3.220061,3.140131,3.115713
294,1.978243,1.913818,1.949148,1.848298,1.996174
295,0.500900,0.484822,0.479504,0.491325,0.490219
296,1.949292,1.871448,1.999459,1.894718,1.972341
297,1.817135,1.771466,1.777831,1.814614,1.766540
298,1.855792,1.835194,1.910232,1.797825,1.831370
299,1.481926,1.454692,1.367543,1.517484,1.498264
300,1.186255,1.194192,1.202647,1.110841,1.155489
301,0.395286,0.387724,0.358051,0.370865,0.355714
302,1.288312,1.280772,1.328586,1.325579,1.369717
303,3.721336,3.646455,3.646618,3.768488,3.580195
304,0.513872,0.517041,0.505504,0.492621,0.471369
305,1.345622,1.367928,1.349461,1.318651,1.322061
306,0.769579,0.802144,0.750639,0.851663,0.793352
307,3.483107,3.510285,3.520951,3.514148,3.593851
308,0.817695,0.824676,0.800971,0.799756,0.809463
309,0.728735,0.814122,0.751654,0.755642,0.797076
310,0.506101,0.477210,0.441164,0.474020,0.468588
311,7.047143,7.040930,7.024346,7.110993,7.107203
312,12.339650,12.442536,12.542842,12.497197,12.487681
313,5.808753,5.891595,5.641083,5.824351,6.050639
314,1.989951,1.879817,2.001563,1.918302,1.916642
315,5.938153,6.063772,5.906073,6.058679,5.957672
316,0.640583,0.613984,0.724777,0.656532,0.650394
317,1.449758,1.421691,1.509447,1.474810,1.470463
318,3.687583,3.657675,3.645990,3.607597,3.694256
319,0.427467,0.410398,0.400291,0.423265,0.410514
320,4.271234,4.510570,4.387996,4.419628,4.611434
321,0.400963,0.407183,0.418911,0.408228,0.395387
322,5.621786,5.649823,5.735862,5.709563,5.736128
323,4.159610,4.117898,4.131584,4.129051,4.157488
324,5.192138,5.179636,5.211082,5.194204,5.206611
325,1.402292,1.363306,1.423788,1.381897,1.352648
326,1.344516,1.348518,1.378300,1.330672,1.351289
327,0.409362,0.399419,0.428338,0.411690,0.403035
328,0.769835,0.728520,0.776331,0.788756,0.722657
329,0.649367,0.648579,0.648112,0.665613,0.669724
330,2.937050,3.008644,2.889893,2.906985,3.163484
331,1.639980,1.628950,1.708743,1.603424,1.665158
332,0.565148,0.599881,0.569230,0.633695,0.548856
333,1.294888,1.300665,1.420362,1.287761,1.386470
334,0.368223,0.368024,0.353464,0.375116,0.363838
335,1.642419,1.666787,1.720680,1.725184,1.710747
336,0.539073,0.559828,0.553334,0.536778,0.601041
337,5.412308,5.360739,5.472603,5.455612,5.496031
338,2.091279,2.063366,2.117839,2.085963,2.024695
339,0.365395,0.365142,0.332815,0.376177,0.361390
340,0.406887,0.414027,0.393541,0.406134,0.417449
341,0.904248,0.939538,0.888273,0.875921,0.871511
342,0.394338,0.381653,0.368601,0.397147,0.393977
343,0.423183,0.418678,0.419336,0.446908,0.406698
344,1.744070,1.652859,1.568726,1.691800,1.693301
345,0.976874,0.958080,0.885531,0.920615,0.991902
346,1.592481,1.615646,1.458473,1.611978,1.491599
347,3.205527,3.072344,3.174978,3.030997,3.031885
348,0.434598,0.387249,0.384673,0.366797,0.397599
349,0.397211,0.378177,0.355729,0.404336,0.396582
350,0.572488,0.519719,0.532294,0.539339,0.558001
351,0.465647,0.485314,0.460712,0.454456,0.456723
352,1.289075,1.348674,1.296148,1.339253,1.293196
353,0.469586,0.497427,0.434982,0.461887,0.460063
354,0.593578,0.578266,0.635220,0.585255,0.595591
355,0.921700,0.913268,0.965579,0.890137,0.915899
356,0.397022,0.405197,0.365491,0.377284,0.374810
357,0.463753,0.448703,0.437160,0.436072,0.462740
358,0.351603,0.380338,0.370370,0.362849,0.353895
359,0.408594,0.394166,0.334169,0.347470,0.407244
360,1.230185,1.161012,1.217759,1.161760,1.143534
361,0.952184,0.924609,0.925478,0.871711,0.955583
362,0.958323,0.912874,0.947993,0.944672,0.940627
363,0.422212,0.417189,0.403723,0.407082,0.422402
364,0.899248,0.966494,0.881368,1.021796,0.961285
365,0.453106,0.459466,0.453284,0.453632,0.451264
366,2.684310,2.602487,2.600457,2.528129,2.523892
367,0.401237,0.372070,0.398752,0.389509,0.397392
368,0.766874,0.751939,0.772414,0.764241,0.766975
369,0.802015,0.787513,0.804055,0.842032,0.749199
370,0.668437,0.625257,0.699812,0.637203,0.657251
371,0.390228,0.365516,0.358155,0.366767,0.369103
372,0.436935,0.443134,0.444917,0.465559,0.441073
373,1.328289,1.285584,1.272585,1.322076,1.317535
374,1.009851,1.092526,0.974591,1.040870,1.054286
375,0.404896,0.397560,0.368496,0.390557,0.412940
376,0.546108,0.484887,0.549192,0.509367,0.519076
377,0.529963,0.498270,0.522045,0.568144,0.497131
378,0.555030,0.557182,0.520250,0.532868,0.571443
379,0.388805,0.370612,0.373027,0.367415,0.367807
380,0.362732,0.375663,0.352422,0.353933,0.365968
381,0.633397,0.639712,0.677460,0.644706,0.657710
382,1.000580,1.050553,1.101710,1.092933,1.022554
383,0.379985,0.365933,0.398497,0.391492,0.354730
384,0.481681,0.500093,0.513411,0.507468,0.492808
385,0.620483,0.580411,0.579294,0.542321,0.584186
386,0.774115,0.805013,0.857783,0.751162,0.789594
387,0.629063,0.631456,0.682918,0.679690,0.610101
388,0.410741,0.423268,0.415543,0.404362,0.401088
389,0.335568,0.363820,0.352880,0.359696,0.352822
390,0.424922,0.452571,0.433577,0.424496,0.440506
391,0.482593,0.518398,0.488206,0.512500,0.506464
392,0.361756,0.401433,0.343816,0.351205,0.360468
393,4.106831,4.212818,4.112677,4.044486,4.165112
394,1.665396,1.755955,1.733767,1.613490,1.809382
395,0.402104,0.395772,0.349667,0.371684,0.391023
396,0.501630,0.468059,0.543081,0.474932,0.458845
397,0.413058,0.385233,0.394769,0.362313,0.357184
398,0.815241,0.795561,0.926543,0.803918,0.781024
399,0.401871,0.368448,0.367166,0.382703,0.354020
400,0.819563,0.783301,0.847803,0.828419,0.798202
401,0.826685,0.754146,0.833870,0.762347,0.771010
402,0.370911,0.367099,0.339684,0.380848,0.376001
403,0.417638,0.365589,0.368492,0.402492,0.385102
404,0.474230,0.455632,0.462690,0.425060,0.449509
405,0.727550,0.710592,0.656601,0.696506,0.656230
406,1.079019,1.068698,1.144133,1.107105,1.027844
407,0.458486,0.439196,0.431708,0.447343,0.463015
408,2.096172,2.116861,2.234035,2.049577,2.048622
409,0.392231,0.382377,0.381470,0.395558,0.387188
410,0.400866,0.402001,0.391264,0.388786,0.415968
411,0.587909,0.504003,0.604732,0.571910,0.584606
412,0.410517,0.408933,0.413477,0.404062,0.421205
413,0.723615,0.747442,0.785820,0.742192,0.745483
414,1.782113,1.838807,1.757254,1.678601,1.895998
415,0.836039,0.741657,0.829868,0.822067,0.740472
416,0.910999,0.960794,0.918596,0.976290,0.925607
417,0.369136,0.361302,0.368358,0.380514,0.372501
418,0.387811,0.382570,0.393411,0.378272,0.383309
419,0.378020,0.362343,0.374006,0.374386,0.392189
420,0.646995,0.659817,0.687375,0.714383,0.653897
421,0.826111,0.784284,0.805764,0.817272,0.798403
422,0.407372,0.415648,0.403984,0.394942,0.386098
423,0.474307,0.497399,0.504416,0.516288,0.485637
424,0.386725,0.361168,0.370540,0.378006,0.397187
425,0.468891,0.487367,0.468288,0.492534,0.488473
426,0.721606,0.668004,0.716634,0.767858,0.740618
427,0.369409,0.376581,0.347854,0.378675,0.380987
428,0.616975,0.595910,0.550883,0.644875,0.587060
429,0.464986,0.464455,0.464738,0.450600,0.441075
430,0.729079,0.718018,0.722914,0.736515,0.768118
431,1.127565,1.078690,1.093874,1.161014,1.070714
432,0.617984,0.603605,0.677355,0.653801,0.668117
433,0.509873,0.615411,0.590079,0.576279,0.588031
434,0.404297,0.384642,0.357004,0.380085,0.363738
435,0.545759,0.595019,0.545018,0.538954,0.542380
436,0.472743,0.435765,0.452882,0.465217,0.466711
437,0.421535,0.409685,0.395333,0.443127,0.387343
438,0.393290,0.376822,0.354493,0.393410,0.384886
439,0.563525,0.551314,0.578411,0.522933,0.560971
440,0.550247,0.536485,0.482940,0.532924,0.536465
441,0.455538,0.460562,0.491717,0.467721,0.469924
442,2.691064,2.724674,2.778268,2.760703,2.771217
443,0.348543,0.385760,0.364884,0.385575,0.379582
444,0.476971,0.475693,0.493570,0.450491,0.488883
445,0.860099,0.830222,0.894173,0.834307,0.810988
446,0.699941,0.727455,0.680984,0.693355,0.766333
447,0.416784,0.423544,0.396220,0.430716,0.417092
448,2.141819,2.159805,2.155397,2.111618,2.031925
449,0.414048,0.422661,0.368139,0.416668,0.402187
450,0.965946,0.974470,1.010181,0.933884,0.998684
451,0.599142,0.583972,0.604090,0.570398,0.597598
452,1.345459,1.290370,1.385048,1.339185,1.356739
453,1.617734,1.572071,1.596766,1.544412,1.572055
454,0.570877,0.590634,0.598935,0.625306,0.598619
455,0.388867,0.370143,0.356008,0.391390,0.382145
456,1.069480,1.076610,1.149386,1.068871,1.068815
457,0.403617,0.396737,0.382922,0.417506,0.408085
458,0.373680,0.358517,0.354516,0.399259,0.343745
459,1.609476,1.652180,1.613382,1.577152,1.571520
460,0.367318,0.406990,0.353164,0.430272,0.370598
461,1.405432,1.450794,1.609795,1.512680,1.540353
462,1.534156,1.542761,1.539295,1.536485,1.526346
463,3.663328,3.507101,3.480535,3.634470,3.490252
464,0.533952,0.548872,0.549742,0.567298,0.556096
465,0.386246,0.396544,0.396302,0.417709,0.419180
466,2.330175,2.391461,2.310053,2.232505,2.357595
467,0.910298,0.909075,0.892032,0.893901,0.947176
468,0.878263,0.970803,0.952805,0.958585,0.973091
469,1.703273,1.705441,1.752742,1.740205,1.788984
470,0.407818,0.404872,0.394611,0.410294,0.411218
471,0.605276,0.584972,0.584129,0.558328,0.606016
472,0.853560,0.888725,0.899449,0.900626,1.005339
473,2.839539,2.635250,2.833962,2.837857,2.799860
474,0.782888,0.749146,0.840415,0.757258,0.791111
475,2.138283,2.086278,2.083951,2.170844,2.178599
476,0.492659,0.504595,0.486919,0.492403,0.475646
477,0.588031,0.588207,0.560054,0.548095,0.527936
478,0.396742,0.407361,0.380895,0.363267,0.378735
479,0.403187,0.414691,0.413431,0.404363,0.390698
480,0.370636,0.368560,0.379096,0.368950,0.359944
481,0.486814,0.523366,0.507872,0.455095,0.483952
482,0.713872,0.721404,0.703863,0.673308,0.710689
483,0.390503,0.374786,0.385668,0.362397,0.357556
484,0.405514,0.431247,0.395314,0.378062,0.443933
485,0.407889,0.409738,0.417362,0.396955,0.421213
486,1.193851,1.124216,1.050307,1.170796,1.152687
487,0.514641,0.507051,0.487180,0.499052,0.460279
488,0.765048,0.746115,0.736536,0.782201,0.776366
489,1.192492,1.260837,1.202921,1.172804,1.233819
490,0.784248,0.808632,0.824305,0.786354,0.779563
491,0.505436,0.477593,0.510130,0.482643,0.473335
492,0.897446,0.911965,0.945716,0.839867,0.906447
493,0.497313,0.535778,0.508622,0.532574,0.518266
494,0.550505,0.603985,0.563086,0.537516,0.610575
495,0.370305,0.384310,0.360705,0.382940,0.349864
496,0.730296,0.689478,0.751655,0.732266,0.708596
497,0.383692,0.427240,0.341339,0.373740,0.368991
498,0.940538,0.949736,0.922010,0.907929,0.907616
499,0.453254,0.457325,0.412864,0.423734,0.445276
500,1.004775,0.994941,1.005845,0.975494,0.917597
501,0.545036,0.583685,0.559413,0.538971,0.589926
502,0.358312,0.387316,0.332400,0.354423,0.370263
503,0.677216,0.599119,0.623766,0.635024,0.622698
504,0.848787,0.833129,0.912511,0.867459,0.833420
505,0.373146,0.397534,0.332524,0.361278,0.375834
506,0.450855,0.480204,0.441814,0.488526,0.454079
507,1.166577,1.222531,1.159304,1.202061,1.193417
508,1.005082,1.002939,1.082879,0.975150,1.019845
509,0.474987,0.483501,0.477304,0.468198,0.461392
510,3.682507,3.827782,3.742331,3.844657,3.642809
511,0.809691,0.835314,0.819321,0.776509,0.790521
512,1.218183,1.330387,1.265906,1.275118,1.137153
513,0.394293,0.408151,0.362483,0.390213,0.382118
514,0.737216,0.697349,0.725320,0.739290,0.701378
515,0.552686,0.545553,0.591473,0.497136,0.550352
